Date,Open,High,Low,Close,Adj Close,Volume
2017-09-12,5196.808594,5401.777832,5095.061035,5154.492188,5154.492188,2326591026
2017-09-13,5155.952148,5155.308594,4740.955566,4866.010742,4866.010742,2781564006
2017-09-14,4856.962402,4915.496582,3942.817871,3942.701660,3942.701660,3394538885
2017-09-15,3956.885742,4666.229004,3677.758545,4546.331543,4546.331543,5184439305
2017-09-16,4546.619141,4760.455078,4359.192871,4530.733887,4530.733887,2272715911
2017-09-17,4507.286621,4580.439941,4306.511719,4481.400879,4481.400879,1549906131
2017-09-18,4491.669922,5124.017090,4491.108398,5100.627441,5100.627441,2438155563
2017-09-19,5111.405273,5133.630371,4851.855957,4904.373535,4904.373535,1954242199
2017-09-20,4893.615234,4998.623535,4808.937988,4873.299805,4873.299805,1514447930
2017-09-21,4867.710449,4888.192383,4555.761230,4579.442383,4579.442383,1780148902
2017-09-22,4575.633789,4730.358887,4456.395996,4560.035156,4560.035156,1500665602
2017-09-23,4559.055176,4796.797363,4514.669922,4763.124512,4763.124512,1165679457
2017-09-24,4767.834473,4767.834473,4605.500977,4625.521484,4625.521484,964600573
2017-09-25,4623.938965,4983.913574,4627.425781,4946.541504,4946.541504,1731397314
2017-09-26,4949.489746,5034.736816,4877.000488,4942.666992,4942.666992,1325384168
2017-09-27,4943.416016,5362.437500,4933.731445,5351.853516,5351.853516,2149165499
2017-09-28,5347.343262,5470.864258,5245.979492,5320.160645,5320.160645,2182133299
2017-09-29,5316.197266,5372.376953,5150.185059,5314.783203,5314.783203,1745244458
2017-09-30,5318.664551,5564.190430,5311.961914,5539.014160,5539.014160,1541491107
2017-10-01,5542.001465,5616.299316,5451.053223,5616.299316,5616.299316,1540887703
2017-10-02,5606.185547,5728.126465,5588.484375,5634.913574,5634.913574,1829686962
2017-10-03,5633.814453,5668.845215,5448.938477,5509.800781,5509.800781,1643721246
2017-10-04,5512.212891,5542.226074,5358.131836,5380.864746,5380.864746,1420827033
2017-10-05,5381.526367,5600.308105,5317.392090,5557.794434,5557.794434,1491743688
2017-10-06,5552.722168,5680.615234,5546.251465,5625.962402,5625.962402,1377191361
2017-10-07,5624.083008,5720.015137,5561.912598,5698.146484,5698.146484,1167367744
2017-10-08,5701.724609,5948.977539,5670.794434,5927.590820,5927.590820,1689213104
2017-10-09,5932.784668,6289.428711,5883.281738,6151.888672,6151.888672,2538017233
2017-10-10,6157.290039,6323.445313,6123.233398,6141.780273,6141.780273,2051297159
2017-10-11,6151.104492,6253.984375,6105.139160,6186.208496,6186.208496,1566623861
2017-10-12,6190.182129,6959.128906,6178.090820,6959.128906,6959.128906,3566641257
2017-10-13,6981.167969,7451.262695,6943.614258,7159.241699,7159.241699,4583519351
2017-10-14,7154.576172,7400.735352,7088.793457,7393.243164,7393.243164,2115910264
2017-10-15,7398.529297,7419.472656,6945.499512,7202.168945,7202.168945,2506392613
2017-10-16,7214.066406,7342.354004,7042.055176,7299.324219,7299.324219,2560007670
2017-10-17,7319.709473,7387.099121,6975.172363,7142.596680,7142.596680,2321062752
2017-10-18,7140.443359,7139.533691,6578.265625,7129.163574,7129.163574,3059512737
2017-10-19,7120.301270,7292.560547,7032.498535,7249.834961,7249.834961,2261290363
2017-10-20,7249.313965,7751.483398,7165.707520,7689.243164,7689.243164,3011550207
2017-10-21,7670.491211,7923.867676,7629.917969,7715.016602,7715.016602,2823100414
2017-10-22,7721.489258,7772.141113,7415.618652,7698.167969,7698.167969,2606828976
2017-10-23,7695.067383,7763.339844,7349.320801,7593.239258,7593.239258,3075339472
2017-10-24,7599.897461,7597.951660,7078.420898,7108.218750,7108.218750,3518585168
2017-10-25,7105.595215,7472.185547,6986.642578,7462.755859,7462.755859,2552543410
2017-10-26,7459.058105,7751.004883,7419.556641,7707.649414,7707.649414,2486672758
2017-10-27,7701.005371,7839.232910,7475.949219,7531.135742,7531.135742,2227892194
2017-10-28,7540.150879,7655.966797,7411.659668,7494.905762,7494.905762,1828973424
2017-10-29,7496.665039,8153.949219,7457.764648,8028.506348,8028.506348,3729993477
2017-10-30,7977.625488,8099.817871,7886.227051,7966.900391,7966.900391,2302988975
2017-10-31,7968.836914,8449.243164,7950.149902,8445.489258,8445.489258,3017861298
2017-11-01,8409.674805,8817.341797,8326.213867,8817.341797,8817.341797,3739830786
2017-11-02,8830.970703,9571.690430,8802.708984,9177.363281,9177.363281,6033670738
2017-11-03,9189.070313,9731.694336,9108.922852,9421.908203,9421.908203,4405045877
2017-11-04,9365.333008,9794.587891,9191.215820,9646.994141,9646.994141,3246797469
2017-11-05,9679.111328,9957.490234,9585.869141,9684.155273,9684.155273,3112054010
2017-11-06,9678.676758,9715.252930,9124.101563,9137.080078,9137.080078,4048789883
2017-11-07,9137.522461,9444.426758,9137.522461,9334.177734,9334.177734,3039378228
2017-11-08,9330.258789,10130.823242,9296.942383,9714.403320,9714.403320,5993228368
2017-11-09,9697.656250,9698.918945,9240.754883,9300.325195,9300.325195,4200299419
2017-11-10,9339.578125,9513.401367,8401.031250,8638.742188,8638.742188,6798394278
2017-11-11,8639.355469,8971.609375,8098.446777,8298.655273,8298.655273,6407362214
2017-11-12,8217.530273,8647.760742,7204.033203,7781.937988,7781.937988,11715079634
2017-11-13,7766.479004,8912.836914,7639.594727,8615.038086,8615.038086,8225965222
2017-11-14,8617.651367,8867.453125,8450.045898,8698.059570,8698.059570,4190732751
2017-11-15,8696.761719,9676.133789,8696.761719,9638.392578,9638.392578,5534756427
2017-11-16,9648.538086,10498.589844,9447.840820,10375.233398,10375.233398,6753406870
2017-11-17,10351.350586,10555.966797,10002.764648,10190.336914,10190.336914,6148935910
2017-11-18,10174.765625,10422.987305,9865.750000,10297.620117,10297.620117,4847574377
2017-11-19,10265.736328,10712.561523,10170.654297,10641.539063,10641.539063,4170180000
2017-11-20,10644.955078,11048.052734,10524.771484,10857.459961,10857.459961,4618628423
2017-11-21,10864.212891,11016.970703,10300.835938,10642.483398,10642.483398,5640308523
2017-11-22,10651.305664,10984.731445,10659.279297,10842.813477,10842.813477,4773423689
2017-11-23,10815.002930,10862.436523,10544.032227,10544.032227,10544.032227,5541946359
2017-11-24,10590.267578,11004.152344,10415.700195,10842.998047,10842.998047,6645573011
2017-11-25,10827.259766,11548.764648,10760.837891,11548.764648,11548.764648,5704230205
2017-11-26,11546.294922,12498.922852,11528.625977,12260.906250,12260.906250,7195242975
2017-11-27,12290.039063,12912.084961,12291.654297,12912.084961,12912.084961,7434666218
2017-11-28,12918.765625,13304.034180,12795.767578,13226.561523,13226.561523,8348218235
2017-11-29,13251.019531,15218.552734,12677.974609,13069.799805,13069.799805,15290509839
2017-11-30,13093.828125,14273.820313,12163.978516,13532.927734,13532.927734,10990068490
2017-12-01,13486.643555,14608.172852,12820.219727,14424.497070,14424.497070,8914600962
2017-12-02,14428.045898,14877.381836,14331.843750,14554.605469,14554.605469,6753187142
2017-12-03,14565.251953,15628.229492,14310.935547,14924.476563,14924.476563,8710043179
